"#STN_ID,","STN_KO,","STN_SP,","LON,","LAT,","HT,","FCT_ID,","WRN_ID,","WRN_KO,",SFC_STN_ID=
지점번호,지점명,특성코드,경도,위도,해발고도,예보구역코드,특보구역코드,특보구역명,특보발표 대표지점번호
"254,","순창군,","41211111,","127.12860000,","35.37131000,","129.38,","11F10403,","L1061000,","순창군,","254,="
"255,","북창원,","41211111,","128.67260000,","35.22655000,","50.95,","11H20301,","L1080600,","창원시,","155,="
"257,","양산시,","41211111,","129.02009000,","35.30737000,","6.29,","11H20102,","L1080500,","양산시,","257,="
"258,","보성군,","41211111,","127.21226000,","34.76335000,","1.41,","11F20404,","L1050900,","보성군,","732,="
"259,","강진군,","31111111,","126.76715000,","34.62890000,","9.95,","11F20303,","L1051400,","강진군,","259,="
"260,","장흥,","31211210,","126.91951000,","34.68886000,","43.99,","11F20304,","L1051300,","장흥군,","260,="
"261,","해남,","31211210,","126.56907000,","34.55375000,","16.36,","11F20302,","L1051500,","해남군,","261,="
"262,","고흥,","31211210,","127.27572000,","34.61826000,","51.91,","11F20403,","L1050800,","고흥군,","262,="
"263,","의령군,","31111111,","128.28812000,","35.32258000,","14.10,","11H20602,","L1081100,","의령군,","263,="
"264,","함양군,","31111111,","127.74538000,","35.51138000,","152.07,","11H20502,","L1081700,","함양군,","264,="
"266,","광양시,","31111111,","127.69140000,","34.94340000,","88.21,","11F20402,","L1051100,","광양시,","266,="
"268,","진도군,","41211210,","126.25846000,","34.47296000,","9.82,","21F20201,","L1052300,","진도군,","268,="
"271,","봉화,","41211210,","128.91449000,","36.94361000,","324.67,","11H10402,","L1072010,","봉화군평지,","271,="
"272,","영주,","41211210,","128.51687000,","36.87183000,","211.32,","11H10401,","L1071600,","영주시,","272,="
"273,","문경,","41211210,","128.14879000,","36.62727000,","173.01,","11H10301,","L1071300,","문경시,","273,="
"276,","청송군,","31111111,","129.04005000,","36.43510000,","208.65,","11H10503,","L1071800,","청송군,","276,="
"277,","영덕,","41211210,","129.40926000,","36.53337000,","40.71,","11H10102,","L1072200,","영덕군,","277,="
"278,","의성,","41211210,","128.68864000,","36.35610000,","81.44,","11H10502,","L1071700,","의성군,","278,="
"279,","구미,","31211210,","128.32055000,","36.13055000,","49.17,","11H10602,","L1070300,","구미시,","279,="
"281,","영천,","41211210,","128.95140000,","35.97742000,","96.12,","11H10702,","L1070400,","영천시,","281,="
"283,","경주시,","31111111,","129.20090000,","35.81740000,","40.13,","11H10202,","L1072500,","경주시,","283,="
"284,","거창,","31211210,","127.90990000,","35.66739000,","228.45,","11H20502,","L1081800,","거창군,","284,="
"285,","합천,","41211210,","128.16994000,","35.56505000,","26.72,","11H20503,","L1081900,","합천군,","285,="
"288,","밀양,","31211210,","128.74412000,","35.49147000,","8.31,","11H20601,","L1081000,","밀양시,","288,="
"289,","산청,","41211210,","127.87910000,","35.41300000,","138.22,","11H20703,","L1081600,","산청군,","289,="
"294,","거제,","41211210,","128.60459000,","34.88818000,","44.83,","11H20403,","L1082200,","거제시,","294,="
"295,","남해,","41211210,","127.92641000,","34.81662000,","45.71,","11H20405,","L1082400,","남해군,","295,="
"300,","말도,","01111000,","126.31507000,","35.85799000,","44.18,","21F10501,","L1060300,","군산시,","140,="
"301,","임자도,","01111000,","126.11990000,","35.08704000,","6.33,","21F20803,","L1052200,","신안군(흑산면제외),","789,="
"302,","장산도,","01110000,","126.15928000,","34.66473000,","17.03,","21F20803,","L1052200,","신안군(흑산면제외),","789,="
"303,","가거도,","01111000,","125.09722000,","34.07250000,","97.84,","11F20701,","L1052500,","흑산도홍도,","169,="
"304,","신지도,","01110000,","126.84849000,","34.31801000,","25.41,","11F20301,","L1051600,","완도군,","170,="
"305,","여서도,","01111000,","126.92010000,","33.98622000,","35.38,","11F20301,","L1051600,","완도군,","170,="
"306,","소리도,","01111000,","127.80110000,","34.43185000,","3.04,","11F20401,","L1051000,","여수시,","168,="
"308,","옥도,","01110000,","126.07303000,","34.68703000,","8.23,","21F20803,","L1052200,","신안군(흑산면제외),","789,="
"310,","궁촌,","01111000,","129.26472000,","37.32471000,","14.07,","11D20603,","L1020410,","삼척시평지,","876,="
"311,","가야산,","01110000,","128.08673000,","35.78915000,","605.47,","11H20503,","L1081900,","합천군,","285,="
"312,","주왕산,","01110000,","129.14128000,","36.39314000,","262.19,","11H10503,","L1071800,","청송군,","276,="
"313,","양지암,","11110000,","128.75140000,","34.89334000,","52.48,","11H20403,","L1082200,","거제시,","294,="
"314,","덕유봉,","01111000,","127.74312000,","35.86621000,","1515.31,","11F10302,","L1060700,","무주군,","701,="
"315,","성삼재,","01110000,","127.51079000,","35.30673000,","1087.86,","11F20601,","L1050500,","구례군,","709,="
"316,","무등산,","01110000,","126.99743000,","35.11438000,","911.53,","11F20501,","L1050100,","광주광역시,","156,="
"317,","모악산,","01110000,","127.11418000,","35.72951000,","105.92,","11F10204,","L1060500,","완주군,","734,="
"318,","용평,","01101000,","128.67045000,","37.64336000,","769.81,","11D20201,","L1026020,","평창군산간,","100,="
"319,","천부,","01111000,","130.87084000,","37.53726000,","58.05,","11E00101,","L1072100,","울릉도독도,","115,="
"320,","향로봉,","01100000,","128.31375000,","38.33104000,","1263.88,","11D20100,","L1025020,","인제군산간,","595,="
"321,","원통,","01100000,","128.19630000,","38.11470000,","253.72,","11D20100,","L1025020,","인제군산간,","595,="
"322,","상서,","01110000,","127.66980000,","38.21550000,","263.76,","11D10102,","L1021400,","화천군,","555,="
"323,","마현,","01100000,","127.55300000,","38.27470000,","291.41,","11D10101,","L1021300,","철원군,","95,="
"324,","송계,","01110000,","128.07446000,","36.91019000,","155.91,","11C10201,","L1040900,","제천시,","221,="
"325,","백운,","01110000,","128.02526000,","37.14449000,","231.26,","11C10201,","L1040900,","제천시,","221,="
"326,","용문산,","01110000,","127.61126000,","37.54553000,","191.01,","11B20503,","L1013500,","양평군,","202,="
"327,","우암산,","01110000,","127.51200000,","36.65026000,","127.11,","11C10301,","L1040100,","청주시,","131,="
"328,","중문,","01110000,","126.40600000,","33.24940000,","63.64,","11G00400,","L1090900,","제주도남부,","189,="
"329,","산천단,","01100000,","126.56521000,","33.44711000,","378.48,","11G00200,","L1090700,","제주도북부,","184,="
"330,","대흘,","01100000,","126.64947000,","33.50081000,","144.41,","11G00200,","L1090700,","제주도북부,","184,="
"351,","남면,","A1100000,","126.97890000,","37.89530000,","135.00,","11B20304,","L1011600,","양주시,","598,="
"352,","장흥면,","A1100000,","126.94360000,","37.71560000,","163.00,","11B20304,","L1011600,","양주시,","598,="
"353,","덕정동,","A1100000,","127.06830000,","37.84140000,","88.00,","11B20304,","L1011600,","양주시,","598,="
"355,","서탄면,","A1110000,","127.03640000,","37.11360000,","39.00,","11B20606,","L1012500,","평택시,","551,="
"356,","고덕면,","A1110000,","127.01830000,","37.04810000,","32.00,","11B20606,","L1012500,","평택시,","551,="
"358,","현덕면,","A1110000,","126.92140000,","36.96720000,","35.00,","11B20606,","L1012500,","평택시,","551,="
"359,","선단동,","A1110000,","127.15920000,","37.85420000,","114.00,","11B20403,","L1011300,","포천시,","504,="
"360,","내촌면,","A1110000,","127.22830000,","37.78610000,","119.00,","11B20403,","L1011300,","포천시,","504,="
"361,","영중면,","A1110000,","127.24470000,","38.00530000,","85.00,","11B20403,","L1011300,","포천시,","504,="
"364,","분당구,","A1100000,","127.11890000,","37.38280000,","61.00,","11B20605,","L1012000,","성남시,","572,="
"365,","석수동,","A1100000,","126.89530000,","37.40890000,","42.00,","11B20602,","L1012100,","안양시,","434,="
"366,","오전동 *,","A1100000,","126.97530000,","37.35500000,","114.00,","11B20609,","L1012700,","의왕시,","445,="
